Sample_name,Tree_host,Tree_log,Year,Year_since_decay_start,Site,Decay_status
2011_BD3,paper_birch,birch_03,2011,1,Hanging_on_birch,decayed
2011_BD4,paper_birch,birch_04,2011,1,Hanging_on_birch,decayed
2011_BD5,paper_birch,birch_05,2011,1,Hanging_on_birch,decayed
2011_BD6,paper_birch,birch_06,2011,1,Hanging_on_birch,decayed
2011_BD7,paper_birch,birch_07,2011,1,Hanging_on_birch,decayed
2011_BD8,paper_birch,birch_08,2011,1,Hanging_on_birch,decayed
2011_BD9,paper_birch,birch_09,2011,1,Hanging_on_birch,decayed
2011_BD10,paper_birch,birch_10,2011,1,Hanging_on_birch,decayed
2011_PA1,red_pine,pine_01,2011,1,Ground_bark,decayed
2011_PA2,red_pine,pine_02,2011,1,Ground_bark,decayed
2011_PA3,red_pine,pine_03,2011,1,Ground_bark,decayed
2011_PA4,red_pine,pine_04,2011,1,Ground_bark,decayed
2011_PA5,red_pine,pine_05,2011,1,Ground_bark,decayed
2011_PA6,red_pine,pine_06,2011,1,Ground_bark,decayed
2011_PA7,red_pine,pine_07,2011,1,Ground_bark,decayed
2011_PA8,red_pine,pine_08,2011,1,Ground_bark,decayed
2011_PA9,red_pine,pine_09,2011,1,Ground_bark,decayed
2011_PA10,red_pine,pine_10,2011,1,Ground_bark,decayed
2011_PB1,red_pine,pine_01,2011,1,Ground_nobark,decayed
2011_PB2,red_pine,pine_02,2011,1,Ground_nobark,decayed
2011_PB3,red_pine,pine_03,2011,1,Ground_nobark,decayed
2011_PB4,red_pine,pine_04,2011,1,Ground_nobark,decayed
2011_PB5,red_pine,pine_05,2011,1,Ground_nobark,decayed
2011_PB6,red_pine,pine_06,2011,1,Ground_nobark,decayed
2011_PB7,red_pine,pine_07,2011,1,Ground_nobark,decayed
2011_PB8,red_pine,pine_08,2011,1,Ground_nobark,decayed
2011_PB9,red_pine,pine_09,2011,1,Ground_nobark,decayed
2011_PB10,red_pine,pine_10,2011,1,Ground_nobark,decayed
2011_PC1,red_pine,pine_01,2011,1,Hanging_on_pine,decayed
2011_PC2,red_pine,pine_02,2011,1,Hanging_on_pine,decayed
2011_PC3,red_pine,pine_03,2011,1,Hanging_on_pine,decayed
2011_PC4,red_pine,pine_04,2011,1,Hanging_on_pine,decayed
2011_PC5,red_pine,pine_05,2011,1,Hanging_on_pine,decayed
2011_PC6,red_pine,pine_06,2011,1,Hanging_on_pine,decayed
2011_PC7,red_pine,pine_07,2011,1,Hanging_on_pine,decayed
2011_PC8,red_pine,pine_08,2011,1,Hanging_on_pine,decayed
2011_PC9,red_pine,pine_09,2011,1,Hanging_on_pine,decayed
2011_PC10,red_pine,pine_10,2011,1,Hanging_on_pine,decayed
2011_PD1,red_pine,pine_01,2011,1,Hanging_on_birch,decayed
2011_PD2,red_pine,pine_02,2011,1,Hanging_on_birch,decayed
2011_PD3,red_pine,pine_03,2011,1,Hanging_on_birch,decayed
2011_PD4,red_pine,pine_04,2011,1,Hanging_on_birch,decayed
2011_PD5,red_pine,pine_05,2011,1,Hanging_on_birch,decayed
2011_PD6,red_pine,pine_06,2011,1,Hanging_on_birch,decayed
2011_PD7,red_pine,pine_07,2011,1,Hanging_on_birch,decayed
2011_PD8,red_pine,pine_08,2011,1,Hanging_on_birch,decayed
2011_PD9,red_pine,pine_09,2011,1,Hanging_on_birch,decayed
2011_PD10,red_pine,pine_10,2011,1,Hanging_on_birch,decayed
2012_BA1,paper_birch,birch_01,2012,2,Ground_bark,decayed
2012_BA2,paper_birch,birch_02,2012,2,Ground_bark,decayed
2012_BA3,paper_birch,birch_03,2012,2,Ground_bark,decayed
2012_BA4,paper_birch,birch_04,2012,2,Ground_bark,decayed
2012_BA5,paper_birch,birch_05,2012,2,Ground_bark,decayed
2012_BA6,paper_birch,birch_06,2012,2,Ground_bark,decayed
2012_BA7,paper_birch,birch_07,2012,2,Ground_bark,decayed
2012_BA8,paper_birch,birch_08,2012,2,Ground_bark,decayed
2012_BA9,paper_birch,birch_09,2012,2,Ground_bark,decayed
2012_BA10,paper_birch,birch_10,2012,2,Ground_bark,decayed
2012_BB1,paper_birch,birch_01,2012,2,Ground_nobark,decayed
2012_BB2,paper_birch,birch_02,2012,2,Ground_nobark,decayed
2012_BB3,paper_birch,birch_03,2012,2,Ground_nobark,decayed
2012_BB4,paper_birch,birch_04,2012,2,Ground_nobark,decayed
2012_BB5,paper_birch,birch_05,2012,2,Ground_nobark,decayed
2012_BB6,paper_birch,birch_06,2012,2,Ground_nobark,decayed
2012_BB7,paper_birch,birch_07,2012,2,Ground_nobark,decayed
2012_BB8,paper_birch,birch_08,2012,2,Ground_nobark,decayed
2012_BB9,paper_birch,birch_09,2012,2,Ground_nobark,decayed
2012_BB10,paper_birch,birch_10,2012,2,Ground_nobark,decayed
2012_BC1,paper_birch,birch_01,2012,2,Hanging_on_pine,decayed
2012_BC2,paper_birch,birch_02,2012,2,Hanging_on_pine,decayed
2012_BC3,paper_birch,birch_03,2012,2,Hanging_on_pine,decayed
2012_BC4,paper_birch,birch_04,2012,2,Hanging_on_pine,decayed
2012_BC5,paper_birch,birch_05,2012,2,Hanging_on_pine,decayed
2012_BC6,paper_birch,birch_06,2012,2,Hanging_on_pine,decayed
2012_BC7,paper_birch,birch_07,2012,2,Hanging_on_pine,decayed
2012_BC8,paper_birch,birch_08,2012,2,Hanging_on_pine,decayed
2012_BC9,paper_birch,birch_09,2012,2,Hanging_on_pine,decayed
2012_BC10,paper_birch,birch_10,2012,2,Hanging_on_pine,decayed
2012_BD1,paper_birch,birch_01,2012,2,Hanging_on_birch,decayed
2012_BD2,paper_birch,birch_02,2012,2,Hanging_on_birch,decayed
2012_BD3,paper_birch,birch_03,2012,2,Hanging_on_birch,decayed
2012_BD4,paper_birch,birch_04,2012,2,Hanging_on_birch,decayed
2012_BD5,paper_birch,birch_05,2012,2,Hanging_on_birch,decayed
2012_BD6,paper_birch,birch_06,2012,2,Hanging_on_birch,decayed
2012_BD7,paper_birch,birch_07,2012,2,Hanging_on_birch,decayed
2012_BD8,paper_birch,birch_08,2012,2,Hanging_on_birch,decayed
2012_BD9,paper_birch,birch_09,2012,2,Hanging_on_birch,decayed
2012_BD10,paper_birch,birch_10,2012,2,Hanging_on_birch,decayed
2012_PA1,red_pine,pine_01,2012,2,Ground_bark,decayed
2012_PA2,red_pine,pine_02,2012,2,Ground_bark,decayed
2012_PA3,red_pine,pine_03,2012,2,Ground_bark,decayed
2012_PA4,red_pine,pine_04,2012,2,Ground_bark,decayed
2012_PA5,red_pine,pine_05,2012,2,Ground_bark,decayed
2012_PA6,red_pine,pine_06,2012,2,Ground_bark,decayed
2012_PA7,red_pine,pine_07,2012,2,Ground_bark,decayed
2012_PA8,red_pine,pine_08,2012,2,Ground_bark,decayed
2012_PA9,red_pine,pine_09,2012,2,Ground_bark,decayed
2012_PA10,red_pine,pine_10,2012,2,Ground_bark,decayed
2012_PB1,red_pine,pine_01,2012,2,Ground_nobark,decayed
2012_PB2,red_pine,pine_02,2012,2,Ground_nobark,decayed
2012_PB3,red_pine,pine_03,2012,2,Ground_nobark,decayed
2012_PB4,red_pine,pine_04,2012,2,Ground_nobark,decayed
2012_PB5,red_pine,pine_05,2012,2,Ground_nobark,decayed
2012_PB6,red_pine,pine_06,2012,2,Ground_nobark,decayed
2012_PB7,red_pine,pine_07,2012,2,Ground_nobark,decayed
2012_PB8,red_pine,pine_08,2012,2,Ground_nobark,decayed
2012_PB9,red_pine,pine_09,2012,2,Ground_nobark,decayed
